mision;activity;time;robot
;TB_enter;2023-08-25 14:23:34.200;5
;TB_task2;2023-08-25 14:23:39.100;5
;TA_enter;2023-08-25 14:23:44.800.800;1
;TA_task1;2023-08-25 14:23:49.700;1
;TA_task3;2023-08-25 14:23:51.300;4
;TB_task3;2023-08-25 14:23:51.300;4
;TC_enter;2023-08-25 14:24:03.900;2
;TC_task1;2023-08-25 14:24:08.800;2
;TD_enter;2023-08-25 14:24:11.600;3
;TD_task2;2023-08-25 14:24:16.500;3
;TC_task3;2023-08-25 14:24:18.200;0
;TD_task3;2023-08-25 14:24:18.200;0
;TF_enter;2023-08-25 14:24:34.0;1
;TF_task2;2023-08-25 14:24:38.900;1
;TE_enter;2023-08-25 14:26:02.200;0
;TE_task1;2023-08-25 14:26:07.100;0
;TE_task3;2023-08-25 14:26:08.700;3
;TF_task3;2023-08-25 14:26:08.700;3
;TG_enter;2023-08-25 14:26:13.300;5
;TG_task1;2023-08-25 14:26:18.200;5
;TH_enter;2023-08-25 14:26:24.100;3
;TH_task2;2023-08-25 14:26:29.0;3
;TG_task3;2023-08-25 14:26:30.700;0
;TH_task3;2023-08-25 14:26:30.700;0
;TG_task4;2023-08-25 14:26:30.800;3
;TH_task4;2023-08-25 14:26:30.800;3
